model,best_score,best_params
mnb_cv,0.6003846605495011,{'multinomialnb__alpha': 1}
pac_cv,0.6328249920898722,{'passiveaggressiveclassifier__C': 0.1}
lin_svm_cv,0.6738192978850874,{'sgdclassifier__alpha': 0.0001}
log_r_cv,0.6707963242641407,{'logisticregression__C': 1}
mnb_tfidf,0.6004584068621854,{'multinomialnb__alpha': 1}
mnb_tfidf,0.6004584068621854,{'multinomialnb__alpha': 1}
mnb_tfidf,0.6004584068621854,{'multinomialnb__alpha': 1}
pac_tfidf,0.630907723872929,{'passiveaggressiveclassifier__C': 0.1}
lin_svm_tfidf,0.6803075055425261,{'sgdclassifier__alpha': 0.0001}
log_r_tfidf,0.6713862675830453,{'logisticregression__C': 1}
mnb_hash_tf,0.562633860566463,{'multinomialnb__alpha': 5}
pac_hash_tf,0.6319399276073793,{'passiveaggressiveclassifier__C': 0.1}
lin_svm_hash_tf,0.6714602585388608,{'sgdclassifier__alpha': 0.0001}
log_r_hash_tf,0.6667414459170149,{'logisticregression__C': 1}
mnb_hash,0.6264844129706526,{'multinomialnb__alpha': 1}
pac_hash,0.6514052029613779,{'passiveaggressiveclassifier__C': 0.1}
lin_svm_hash,0.6891543991727801,{'sgdclassifier__alpha': 0.001}
log_r_hash,0.680307777368227,{'logisticregression__C': 1}
