model,best_score,best_params
pac_cv_tranf,0.723513086,{'C': 0.001}
lin_svm_cv_tranf,0.712453368,{'alpha': 0.001}
lin_svm_tfidf_tranf,0.706629774,{'alpha': 0.0001}
lin_svm_cv_tfidf,0.706407774,{'lin_svm__alpha': 0.0001}
log_r_cv_tranf,0.703532212,{'C': 0.1}
pac_tfidf_tranf,0.703311299,{'C': 0.01}
pac_cv_tfidf,0.700288706,{'pac__C': 0.01}
log_r_tfidf_tranf,0.698518767,{'C': 1}
log_r_cv_tfidf,0.698371383,{'log_r__C': 1}
lin_svm_tfidf_tfidf,0.695348872,{'lin_svm__alpha': 0.0001}
pac_tfidf_tfidf,0.694022009,{'pac__C': 0.1}
log_r_tfidf_tfidf,0.685616642,{'log_r__C': 1}
pac_hash_tranf,0.683403274,{'C': 0.01}
lin_svm_hash_tranf,0.678906244,{'alpha': 0.0001}
mnb_cv_tranf,0.673965839,{'alpha': 10}
pac_hash_tfidf,0.672639928,{'pac__C': 0.01}
log_r_hash_tranf,0.670059514,{'C': 1}
lin_svm_hash_tfidf,0.667257752,{'lin_svm__alpha': 0.0001}
log_r_hash_tfidf,0.661875222,{'log_r__C': 1}
mnb_cv_tfidf,0.617047087,{'mnb__alpha': 1}
mnb_cv_tfidf,0.617047087,{'mnb__alpha': 1}
mnb_tfidf_tranf,0.61535152,{'alpha': 1}
mnb_hash_tranf,0.604955627,{'alpha': 10}
mnb_tfidf_tfidf,0.580624617,{'mnb__alpha': 0.1}
mnb_hash_tfidf,0.54936265,{'mnb__alpha': 1}
